fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01089,01003,47,94,2388
01089,47149,45,82,1909
01089,17031,44,79,1570
01089,12057,43,78,1145
01089,12011,41,66,1329
01089,01033,40,72,1460
01089,51059,40,82,3664
01089,01055,39,67,1228
01089,53033,38,72,3166
01089,47055,37,72,1247
01089,48439,35,87,1617
01089,48027,34,85,1820
01089,04013,33,65,1524
01089,26163,32,62,665
01089,12009,31,63,2449
01089,12031,31,45,797
01089,47125,31,69,1195
01089,12091,30,62,1868
01089,47187,30,67,2546
01089,47093,29,51,1263
01089,48113,29,50,1017
01089,13215,28,43,808
01089,01015,27,43,521
01089,01049,26,46,705
01089,01079,26,43,767
01089,21111,26,49,896
01089,29189,26,46,1213
01089,12103,24,53,1615
01089,24033,24,31,956
01089,48453,24,36,1358
01089,12005,23,48,1556
01089,12033,22,44,856
01089,06073,21,45,914
01089,24031,21,33,1230
01089,32003,21,34,933
01089,47165,21,41,1000
01089,48029,21,44,990
01089,48141,21,56,791
01089,12099,20,33,584
01089,37051,20,44,772
01089,08041,19,41,1188
01089,37183,19,26,706
01089,53061,19,41,2052
01089,06085,18,30,1054
01089,12071,18,39,1124
01089,12105,18,39,674
01089,13151,18,23,813
01089,37119,18,25,639
01089,47051,18,34,1381
01089,01059,17,57,737
01089,06059,17,34,817
01089,13063,17,27,285
01089,37133,17,31,1563
01089,39049,17,30,689
01089,47119,17,32,530
01089,01001,16,29,748
01089,01069,16,32,371
01089,01115,16,31,684
01089,01123,16,29,549
01089,08031,16,21,849
01089,36061,16,28,2257
01089,01009,15,32,366
01089,01113,15,20,392
01089,06071,15,26,331
01089,13051,15,25,874
01089,22033,15,25,835
01089,22103,15,25,977
01089,01121,14,25,317
01089,12117,14,24,503
01089,18097,14,18,345
01089,22071,14,15,562
01089,51013,14,23,1335
01089,01047,13,23,467
01089,01133,13,29,669
01089,05119,13,31,436
01089,06001,13,37,1043
01089,25017,13,22,1188
01089,26125,13,30,430
01089,39035,13,23,567
01089,45019,13,25,818
01089,04019,12,30,644
01089,06019,12,16,257
01089,06081,12,27,1033
01089,08059,12,18,419
01089,48085,12,28,908
01089,48157,12,25,621
01089,51041,12,26,686
01089,53053,12,27,499
01089,06065,11,21,488
01089,11001,11,13,417
01089,12101,11,17,397
01089,13057,11,20,697
01089,13153,11,24,483
01089,13245,11,19,296
01089,15003,11,20,572
01089,28047,11,23,321
01089,29183,11,21,786
01089,36047,11,16,221
01089,48491,11,24,1074
01089,51153,11,20,933
01089,51510,11,18,698
01089,01031,10,20,647
01089,01109,10,19,475
01089,12019,10,20,322
01089,13077,10,15,416
01089,13097,10,15,337
01089,25025,10,15,686
01089,28121,10,27,470
01089,36045,10,18,268
01089,37021,10,18,388
01089,37081,10,20,424
01089,45063,10,19,562
01089,48121,10,26,1158
01089,53067,10,25,483
01091,01065,77,196,2609
01091,01125,51,106,2657
01091,01025,23,52,575
01091,01073,23,54,774
01091,01131,22,51,649
01091,01097,16,37,572
01091,01105,16,43,396
01091,01063,15,33,544
01091,01101,15,27,393
01091,01003,10,17,754
01091,01047,10,26,313
01093,01133,97,239,2512
