fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01073,12113,18,37,1348
01073,25025,18,26,1051
01073,27053,18,25,869
01073,37051,18,35,394
01073,37063,18,33,1493
01073,48027,18,36,494
01073,48141,18,40,970
01073,48157,18,39,1241
01073,01063,17,29,417
01073,05119,17,29,1329
01073,12071,17,26,4182
01073,12127,17,26,392
01073,13057,17,32,723
01073,21111,17,35,1676
01073,25017,17,38,690
01073,28089,17,37,1761
01073,28121,17,46,1273
01073,39035,17,38,1371
01073,47125,17,34,660
01073,51710,17,31,679
01073,01091,16,33,421
01073,06001,16,20,855
01073,08031,16,17,980
01073,12083,16,35,494
01073,13045,16,31,746
01073,13151,16,33,909
01073,26125,16,25,759
01073,39061,16,35,1057
01073,45019,16,28,1037
01073,48339,16,38,1565
01073,55079,16,26,631
01073,04019,15,30,1611
01073,13021,15,28,1073
01073,13077,15,31,707
01073,18097,15,29,551
01073,29095,15,27,688
01073,36005,15,29,164
01073,01037,14,26,718
01073,06085,14,34,1803
01073,12105,14,23,567
01073,12109,14,26,1086
01073,37067,14,29,1304
01073,41051,14,19,749
01073,51810,14,27,652
01073,01053,13,21,367
01073,01057,13,29,391
01073,01071,13,26,491
01073,01107,13,29,719
01073,01131,13,28,262
01073,06071,13,31,299
01073,13113,13,23,959
01073,20091,13,31,1375
01073,24033,13,18,523
01073,27037,13,24,618
01073,40109,13,28,399
01073,45079,13,23,522
01073,51153,13,32,664
01073,53053,13,25,968
01073,01025,12,21,256
01073,01027,12,34,576
01073,01093,12,20,447
01073,01105,12,22,254
01073,01119,12,25,500
01073,02020,12,27,683
01073,13115,12,26,902
01073,28033,12,32,811
01073,28059,12,29,500
01073,28075,12,27,371
01073,49035,12,22,1882
01073,01017,11,26,264
01073,01087,11,18,154
01073,08005,11,21,453
01073,12101,11,26,629
01073,17097,11,20,369
01073,20173,11,22,928
01073,24510,11,14,714
01073,40143,11,20,479
01073,47165,11,17,477
01073,06067,10,13,367
01073,06075,10,11,554
01073,12081,10,17,601
01073,12117,10,22,578
01073,13015,10,14,400
01073,13059,10,14,479
01073,13073,10,26,560
01073,26161,10,16,323
01073,28073,10,15,355
01073,29510,10,12,338
01073,37021,10,14,580
01073,55133,10,27,1012
01075,01093,53,133,1578
01075,28087,22,60,759
01075,01125,21,42,781
01075,01057,17,40,489
01075,01107,14,31,366
01075,28095,12,26,224
01077,01033,481,1049,17439
01077,01089,118,218,4811
01077,01083,95,171,3435
01077,01073,60,96,2383
01077,01059,48,121,1310
01077,47099,47,93,1443
01077,01103,41,77,1233
01077,47037,32,50,918
01077,01079,31,64,1106
01077,47181,25,50,1102
01077,01117,17,33,833
01077,01003,15,28,387
01077,01097,13,29,435
01077,01125,13,36,423
01077,47071,13,26,449
01077,01095,12,21,729
01077,01101,12,22,513
01077,01133,11,18,231
01077,01093,10,28,268
01077,47055,10,19,415
01079,01103,316,684,10694
01079,01033,55,126,1763
01079,01077,33,69,1017
01079,01089,27,63,1331
01079,01059,22,56,543
01079,01083,18,42,635
01079,01133,16,33,569
01079,01073,10,16,221
01081,13215,493,989,5043
01081,01113,480,994,14658
01081,01017,267,579,7533
01081,01073,136,236,5133
01081,01123,134,314,5598
01081,01087,130,276,3150
01081,01101,122,219,4078
01081,13121,70,104,2813
01081,01089,64,101,2145
01081,01097,62,91,1744
01081,13285,56,120,2215
01081,01117,51,89,2065
01081,01003,50,98,2176
01081,13145,48,96,2436
01081,13067,47,76,1773
01081,13089,43,66,1518
01081,01051,39,95,1418
01081,01069,37,85,1306
01081,12033,36,81,1317
01081,13077,32,71,1219
01081,13135,32,73,1385
01081,01125,30,61,1098
01081,48201,30,57,1445
01081,48453,29,57,1057
01081,47037,25,37,1047
01081,08041,24,63,936
01081,01111,23,45,940
01081,37051,23,66,1162
01081,12095,21,39,802
01081,01103,20,26,482
01081,12005,19,41,1139
01081,48141,19,56,708
01081,01109,18,25,604
01081,12031,18,38,687
01081,01043,17,32,429
01081,48027,17,38,803
01081,01001,16,36,638
01081,01005,16,29,440
01081,01011,16,35,518
01081,01031,16,39,948
01081,01121,16,35,758
01081,06037,16,23,671
01081,13113,16,45,911
01081,01049,15,25,314
01081,37119,15,24,533
01081,12057,14,30,789
01081,12113,14,30,697
01081,13063,14,30,373
01081,51059,14,36,594
01081,04013,13,25,598
01081,12091,13,34,1972
01081,13151,13,31,515
01081,15003,13,37,558
01081,47065,13,28,771
